污染率,模型,测试来源,测试簇数,Precision,Recall,Edge-F1,Loss
0%,Read-weighted MPNN,1000训练簇/300测试簇,300,0.988,0.996,0.992,0.004
0%,Read-weighted MPNN+ReadAux,1000训练簇/300测试簇,300,0.983,0.997,0.990,0.005
5%,Read-weighted MPNN,1000训练簇/300测试簇,300,0.988,0.996,0.992,0.004
5%,Read-weighted MPNN+ReadAux,1000训练簇/300测试簇,300,0.984,0.996,0.990,0.005
10%,Read-weighted MPNN,1000训练簇/300测试簇,300,0.988,0.996,0.992,0.004
10%,Read-weighted MPNN+ReadAux,1000训练簇/300测试簇,300,0.984,0.997,0.990,0.005
20%,Read-weighted MPNN,1000训练簇/300测试簇,300,0.987,0.994,0.990,0.006
20%,Read-weighted MPNN+ReadAux,1000训练簇/300测试簇,300,0.982,0.996,0.989,0.006
30%,Read-weighted MPNN,1000训练簇/300测试簇,300,0.986,0.995,0.990,0.006
30%,Read-weighted MPNN+ReadAux,1000训练簇/300测试簇,300,0.983,0.996,0.990,0.006
40%,Read-weighted MPNN,40%补充测试/50测试簇,50,0.986,0.994,0.990,0.006
40%,Read-weighted MPNN+ReadAux,40%补充测试/50测试簇,50,0.984,0.996,0.990,0.006
